iter	Passed	Remaining
224	1151	3967
225	1156	3959
226	1160	3951
227	1164	3942
228	1169	3935
229	1173	3927
230	1176	3918
231	1180	3909
232	1184	3900
233	1188	3891
234	1192	3882
235	1196	3873
236	1200	3865
237	1204	3856
238	1208	3847
239	1212	3838
240	1216	3830
241	1220	3822
242	1224	3813
243	1228	3805
244	1232	3796
245	1235	3788
246	1239	3779
247	1243	3771
248	1247	3763
249	1251	3755
250	1255	3746
251	1260	3741
252	1265	3736
253	1269	3729
254	1274	3723
255	1278	3715
256	1283	3709
257	1287	3701
258	1291	3693
259	1294	3685
260	1299	3678
261	1303	3670
262	1307	3662
263	1310	3654
264	1314	3646
265	1318	3638
266	1322	3631
267	1326	3623
268	1330	3615
269	1334	3607
270	1338	3599
271	1341	3591
272	1345	3584
273	1349	3576
274	1353	3568
275	1357	3560
276	1361	3553
277	1365	3545
278	1369	3538
279	1372	3530
280	1376	3522
281	1380	3515
282	1384	3508
283	1388	3500
284	1392	3493
285	1396	3486
286	1400	3479
287	1404	3471
288	1408	3464
289	1412	3457
290	1416	3450
291	1419	3442
292	1423	3435
293	1427	3428
294	1431	3420
295	1435	3413
296	1439	3406
297	1443	3399
298	1447	3392
299	1451	3385
300	1454	3378
301	1458	3371
302	1462	3364
303	1466	3358
304	1471	3353
305	1476	3347
306	1480	3342
307	1485	3337
308	1489	3331
309	1493	3324
310	1497	3317
311	1501	3310
312	1505	3303
313	1509	3297
314	1513	3290
315	1517	3284
316	1521	3277
317	1525	3270
318	1529	3264
319	1533	3257
320	1537	3251
321	1541	3244
322	1545	3238
323	1550	3233
324	1554	3228
325	1559	3223
326	1563	3217
327	1567	3210
328	1572	3206
329	1575	3199
330	1579	3193
331	1583	3186
332	1589	3183
333	1593	3176
334	1596	3170
335	1600	3163
336	1607	3162
337	1611	3156
338	1615	3149
339	1621	3147
340	1625	3142
341	1629	3135
342	1634	3131
343	1639	3126
344	1643	3119
345	1647	3113
346	1653	3111
347	1657	3105
348	1661	3099
349	1666	3094
350	1671	3089
351	1675	3083
352	1680	3079
353	1686	3078
354	1691	3072
355	1695	3067
356	1702	3066
357	1706	3060
358	1710	3054
359	1716	3051
360	1720	3045
361	1724	3039
362	1728	3033
363	1734	3030
364	1738	3024
365	1742	3018
366	1747	3014
367	1751	3008
368	1755	3001
369	1759	2995
370	1764	2991
371	1768	2985
372	1772	2979
373	1776	2972
374	1780	2966
375	1783	2960
376	1787	2954
377	1791	2948
378	1795	2942
379	1799	2936
380	1803	2930
381	1807	2923
382	1811	2918
383	1815	2911
384	1819	2905
385	1823	2899
386	1828	2895
387	1832	2890
388	1836	2884
389	1840	2878
390	1845	2873
391	1849	2867
392	1852	2861
393	1856	2855
394	1860	2850
395	1864	2844
396	1868	2838
397	1872	2832
398	1876	2826
399	1880	2820
400	1885	2816
401	1890	2811
402	1894	2806
403	1899	2801
404	1903	2796
405	1907	2790
406	1911	2784
407	1915	2779
408	1919	2773
409	1923	2767
410	1926	2761
411	1930	2755
412	1934	2749
413	1938	2743
414	1942	2737
415	1946	2731
416	1949	2725
417	1953	2719
418	1957	2713
419	1961	2708
420	1964	2702
421	1968	2696
422	1972	2690
423	1976	2684
424	1980	2679
425	1984	2673
426	1988	2667
427	1991	2662
428	1995	2656
429	1999	2651
430	2003	2645
431	2007	2639
432	2011	2634
433	2015	2628
434	2019	2622
435	2023	2617
436	2026	2611
437	2030	2605
438	2036	2603
439	2041	2597
440	2044	2591
441	2048	2586
442	2052	2581
443	2056	2575
444	2060	2569
445	2064	2564
446	2068	2558
447	2072	2553
448	2076	2547
449	2080	2542
450	2084	2536
451	2087	2531
452	2091	2525
453	2096	2521
454	2101	2516
455	2105	2512
456	2109	2506
457	2114	2502
458	2119	2498
459	2123	2492
460	2127	2487
461	2131	2482
462	2136	2477
463	2140	2472
464	2144	2467
465	2150	2463
466	2154	2459
467	2159	2454
468	2163	2449
469	2168	2445
470	2172	2440
471	2176	2434
472	2183	2432
473	2187	2427
474	2191	2422
475	2197	2419
476	2202	2414
477	2206	2409
478	2210	2403
479	2216	2401
480	2220	2396
481	2224	2391
482	2230	2387
483	2234	2382
484	2238	2376
485	2242	2371
486	2247	2367
487	2251	2362
488	2255	2357
489	2259	2352
490	2264	2347
491	2268	2342
492	2272	2336
493	2276	2331
494	2280	2326
495	2284	2320
496	2287	2315
497	2291	2309
498	2295	2304
499	2298	2298
500	2302	2293
501	2307	2288
502	2311	2284
503	2315	2278
504	2319	2273
505	2323	2268
506	2328	2264
507	2332	2258
508	2335	2253
509	2339	2248
510	2344	2243
511	2348	2238
512	2352	2232
513	2356	2228
514	2360	2222
515	2363	2217
516	2367	2212
517	2371	2206
518	2375	2201
519	2379	2196
520	2383	2191
521	2387	2186
522	2391	2180
523	2394	2175
524	2398	2170
525	2402	2165
526	2406	2160
527	2410	2154
528	2414	2149
529	2418	2144
530	2421	2139
531	2425	2133
532	2429	2128
533	2433	2123
534	2437	2118
535	2441	2113
536	2444	2107
537	2448	2102
538	2452	2097
539	2456	2092
540	2459	2087
541	2463	2081
542	2467	2077
543	2471	2071
544	2475	2066
545	2479	2061
546	2483	2056
547	2487	2052
548	2491	2046
549	2495	2041
550	2499	2036
551	2503	2031
552	2507	2026
553	2511	2021
554	2515	2016
555	2521	2013
556	2525	2008
557	2529	2004
558	2534	1999
559	2538	1994
560	2543	1990
561	2547	1985
562	2551	1980
563	2555	1975
564	2559	1970
565	2565	1966
566	2570	1963
567	2574	1958
568	2578	1953
569	2582	1948
570	2586	1943
571	2590	1938
572	2594	1933
573	2598	1928
574	2602	1923
575	2606	1918
576	2609	1913
577	2613	1908
578	2617	1903
579	2621	1898
580	2625	1893
581	2629	1888
582	2633	1883
583	2636	1878
584	2640	1873
585	2644	1868
586	2648	1863
587	2652	1858
588	2656	1853
589	2660	1848
590	2663	1843
591	2667	1838
592	2671	1833
593	2675	1828
594	2679	1823
595	2683	1819
596	2687	1814
597	2691	1809
598	2696	1805
599	2700	1800
600	2704	1795
601	2708	1790
602	2713	1786
603	2717	1781
604	2721	1776
605	2725	1772
606	2731	1768
607	2736	1764
608	2740	1759
609	2747	1756
610	2752	1752
611	2756	1747
612	2761	1743
613	2765	1738
614	2769	1733
615	2773	1729
616	2780	1725
617	2783	1720
618	2787	1715
619	2792	1711
620	2797	1707
621	2801	1702
622	2805	1697
623	2811	1694
624	2815	1689
625	2819	1684
626	2824	1680
627	2829	1675
628	2833	1670
629	2836	1666
630	2842	1662
631	2846	1657
632	2850	1652
633	2854	1648
634	2859	1643
635	2863	1639
636	2867	1634
637	2872	1630
638	2876	1625
639	2880	1620
640	2884	1615
641	2889	1611
642	2893	1606
643	2897	1601
644	2901	1596
645	2905	1592
646	2909	1587
647	2913	1582
648	2917	1577
649	2921	1572
650	2925	1568
651	2929	1563
652	2933	1558
653	2937	1554
654	2942	1549
655	2946	1545
656	2951	1540
657	2955	1536
658	2960	1531
659	2964	1527
660	2968	1522
661	2973	1517
662	2977	1513
663	2981	1508
664	2985	1503
665	2989	1499
666	2993	1494
667	2997	1489
668	3000	1484
669	3004	1480
670	3008	1475
671	3012	1470
672	3016	1465
673	3020	1460
674	3024	1456
675	3028	1451
676	3032	1446
677	3036	1441
678	3040	1437
679	3043	1432
680	3047	1427
681	3051	1423
682	3055	1418
683	3060	1413
684	3063	1408
685	3067	1404
686	3071	1399
687	3075	1394
688	3079	1390
689	3083	1385
690	3087	1380
691	3091	1375
692	3095	1371
693	3099	1366
694	3103	1361
695	3107	1357
696	3111	1352
697	3114	1347
698	3118	1343
699	3122	1338
700	3126	1333
701	3130	1328
702	3134	1324
703	3138	1319
704	3142	1314
705	3147	1310
706	3151	1306
707	3155	1301
708	3160	1297
709	3164	1292
710	3169	1288
711	3173	1283
712	3178	1279
713	3181	1274
714	3185	1269
715	3189	1265
716	3193	1260
717	3197	1255
718	3201	1251
719	3205	1246
720	3209	1242
721	3213	1237
722	3217	1232
723	3221	1228
724	3226	1223
725	3230	1219
726	3234	1214
727	3238	1210
728	3244	1206
729	3248	1201
730	3252	1197
731	3257	1192
732	3262	1188
733	3266	1183
734	3270	1179
735	3275	1174
736	3279	1170
737	3283	1165
738	3287	1161
739	3293	1157
740	3297	1152
741	3301	1147
742	3305	1143
743	3310	1139
744	3314	1134
745	3318	1129
746	3323	1125
747	3327	1121
748	3331	1116
749	3335	1111
750	3341	1107
751	3345	1103
752	3349	1098
753	3355	1094
754	3360	1090
755	3364	1085
756	3368	1081
757	3374	1077
758	3378	1072
759	3383	1068
760	3388	1064
761	3393	1059
762	3397	1055
763	3401	1050
764	3405	1046
765	3409	1041
766	3413	1037
767	3417	1032
768	3421	1027
769	3425	1023
770	3429	1018
771	3433	1013
772	3437	1009
773	3440	1004
774	3444	1000
775	3448	995
776	3452	990
777	3456	986
778	3460	981
779	3464	977
780	3468	972
781	3472	967
782	3475	963
783	3479	958
784	3483	954
785	3488	949
786	3491	945
787	3495	940
788	3499	935
789	3504	931
790	3508	927
791	3512	922
792	3517	918
793	3521	913
794	3525	909
795	3530	904
796	3534	900
797	3538	895
798	3542	891
799	3545	886
800	3549	881
801	3554	877
802	3557	872
803	3561	868
804	3565	863
805	3570	859
806	3575	854
807	3579	850
808	3583	846
809	3588	841
810	3592	837
811	3597	832
812	3601	828
813	3605	823
814	3608	819
815	3612	814
816	3616	810
817	3620	805
818	3624	800
819	3628	796
820	3631	791
821	3635	787
822	3639	782
823	3643	778
824	3647	773
825	3650	769
826	3654	764
827	3658	759
828	3662	755
829	3665	750
830	3669	746
831	3673	741
832	3677	737
833	3681	732
834	3684	728
835	3688	723
836	3692	719
837	3696	714
838	3699	709
839	3703	705
840	3707	700
841	3711	696
842	3715	691
843	3718	687
844	3722	682
845	3726	678
846	3730	673
847	3733	669
848	3737	664
849	3741	660
850	3745	655
851	3749	651
852	3752	646
853	3756	642
854	3760	637
855	3764	633
856	3767	628
857	3771	624
858	3776	619
859	3780	615
860	3784	610
861	3788	606
862	3792	602
863	3797	597
864	3801	593
865	3806	588
866	3810	584
867	3813	579
868	3817	575
869	3821	571
870	3825	566
871	3829	562
872	3833	557
873	3837	553
874	3841	548
875	3845	544
876	3849	539
877	3853	535
878	3857	530
879	3861	526
880	3864	522
881	3868	517
882	3872	513
883	3876	508
884	3880	504
885	3884	499
886	3888	495
887	3892	490
888	3896	486
889	3899	482
890	3903	477
891	3907	473
892	3911	468
893	3915	464
894	3919	459
895	3923	455
896	3927	450
897	3931	446
898	3935	442
899	3939	437
900	3943	433
901	3947	428
902	3951	424
903	3955	420
904	3958	415
905	3962	411
906	3966	406
907	3970	402
908	3974	397
909	3978	393
910	3982	389
911	3987	384
912	3991	380
913	3996	376
914	4000	371
915	4005	367
916	4009	362
917	4014	358
918	4019	354
919	4023	349
920	4027	345
921	4031	341
922	4035	336
923	4038	332
924	4042	327
925	4046	323
926	4050	318
927	4054	314
928	4058	310
929	4062	305
930	4065	301
931	4069	296
932	4073	292
933	4077	288
934	4081	283
935	4085	279
936	4089	274
937	4093	270
938	4097	266
939	4101	261
940	4104	257
941	4108	252
942	4112	248
943	4116	244
944	4120	239
945	4124	235
946	4128	231
947	4132	226
948	4136	222
949	4140	217
950	4143	213
951	4147	209
952	4151	204
953	4155	200
954	4159	195
955	4163	191
956	4167	187
957	4170	182
958	4174	178
959	4179	174
960	4183	169
961	4186	165
962	4190	161
963	4195	156
964	4200	152
965	4204	147
966	4209	143
967	4213	139
968	4217	134
969	4222	130
970	4226	126
971	4230	121
972	4234	117
973	4238	113
974	4242	108
975	4246	104
976	4250	100
977	4254	95
978	4258	91
979	4261	86
980	4265	82
981	4269	78
982	4273	73
983	4277	69
984	4281	65
985	4285	60
986	4288	56
987	4292	52
988	4296	47
989	4300	43
990	4304	39
991	4308	34
992	4312	30
993	4316	26
994	4319	21
995	4323	17
996	4327	13
997	4331	8
998	4335	4
999	4339	0
