Page_traffic,Unit_price,Title_Count,Description_Length,Image_Count,month,1_Star_Rating,5_Star_Rating,2_Star_Rating,3_Star_Rating,Organic Search Rank,4_Star_Rating,online_cost_per_impression,num_unique_Search_Terms,average_rating,total_cost,total_clicks,num_unique_campaigns,Online_Impressions,Segment_Makeup,Online_Cost,Online_Clicks,video_cost_per_impression,Units_sold>1000
3927.0,16.12033694,172,158,9,5,113.0,3256,76.0,226,3.0,466,0.0,7.0,4.6,0.0,0.0,0,0,False,0.0,0.0,0.0,0
3377.0,21.64841499,125,221,7,7,0.0,0,0.0,0,30.0,0,0.0,0.0,0.0,0.0,0.0,0,0,True,0.0,0.0,0.0,1
997.0,18.54964539,127,221,8,10,94.0,2321,65.0,217,8.0,405,0.0,6.0,4.5,0.0,0.0,0,0,True,0.0,0.0,0.0,0
2279.0,21.86951872,113,209,13,1,19.0,416,21.0,49,18.0,90,0.013700417153930595,0.0,4.5,1223.091041,640.0,2,89273,False,1223.091041,640.0,0.0,0
683.0,25.91881919,82,105,0,4,60.0,2430,49.0,165,11.0,353,0.0,8.0,4.6,0.0,0.0,0,0,True,0.0,0.0,0.0,1
2126.0,19.57394711,125,221,8,3,46.0,1552,26.0,87,15.0,201,0.0,9.0,4.7,0.0,0.0,0,0,False,0.0,0.0,0.0,1
52.0,38.004656739999994,89,58,9,8,57.0,1259,31.0,87,21.0,186,0.028901868903617525,5.0,4.6,3065.534529,735.0,2,106066,False,3065.534529,735.0,0.0,0
2911.0,20.20183486,85,123,7,5,57.0,523,36.0,53,10.0,100,0.017483804891465324,0.0,4.3,2892.363327,960.0,2,165430,True,2892.363327,960.0,0.0,0
1923.0,35.86810229,152,186,10,11,44.0,1640,37.0,92,3.0,230,0.0,5.0,4.7,111171.56,10309.0,0,0,True,0.0,0.0,0.012052667150486772,0
3931.0,22.40683962,67,125,11,1,0.0,335,16.0,48,32.0,68,0.0,3.0,4.5,0.0,0.0,0,0,True,0.0,0.0,0.0,0
2897.0,13.08935686,119,209,11,2,71.0,1459,60.0,138,21.0,267,0.0,0.0,4.5,61559.15,5379.0,0,0,True,0.0,0.0,0.009999826186456125,1
2729.0,18.10104012,115,209,2,9,165.0,4391,118.0,341,3.0,673,0.0,8.0,4.6,0.0,0.0,0,0,False,0.0,0.0,0.0,1
3057.0,27.59696728,67,125,11,12,35.0,0,14.0,30,19.0,0,0.025957445281089373,0.0,1.9,4822.763546,963.0,4,185794,True,4822.763546,963.0,0.0,1
2862.0,18.50673575,82,105,0,4,24.0,501,21.0,54,3.0,91,0.0,0.0,4.5,0.0,0.0,0,0,True,0.0,0.0,0.0,0
2613.0,21.36165803,122,209,14,1,55.0,1163,36.0,82,15.0,188,0.0,7.0,4.6,61559.15,5379.0,0,0,True,0.0,0.0,0.009999826186456125,0
3688.0,25.84187568,85,59,9,3,0.0,403,0.0,25,32.0,66,0.01568866912527069,3.0,4.8,42635.076288,4260.0,2,152389,False,2390.796288,781.0,0.01043443224601899,0
1282.831555,21.64085667,113,166,13,2,0.0,0,0.0,0,14.0,0,0.0,6.0,0.0,0.0,0.0,0,0,True,0.0,0.0,0.0,0
3862.0,23.41770934,77,98,0,12,23.0,442,18.0,49,19.0,89,0.03165025627687658,3.0,4.5,4879.741562,1191.0,2,154176,True,4879.741562,1191.0,0.0,1
3701.0,35.47330097,126,221,9,8,66.0,202,38.0,69,19.0,75,0.021621015297486553,4.0,3.7,3729.884591,880.0,4,172511,True,3729.884591,880.0,0.0,1
4494.0,31.41728395,75,164,0,11,90.0,1652,60.0,152,12.0,294,0.02263010795002995,0.0,4.5,5780.476364,1149.0,4,255432,True,5780.476364,1149.0,0.0,1
3461.0,24.27070064,70,86,0,8,0.0,0,0.0,0,19.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,1
3672.0,23.49469965,137,209,13,3,21.0,742,13.0,45,27.0,92,0.0,11.0,4.7,0.0,0.0,0,0,True,0.0,0.0,0.0,0
3602.0,26.04628099,113,209,10,9,74.0,978,46.0,127,3.0,185,0.0,1.0,4.4,118307.34,10801.0,0,0,True,0.0,0.0,0.011841985070015021,1
2059.0,32.73836608,126,221,9,12,66.0,202,38.0,69,3.0,75,0.03055723131599066,0.0,3.7,2957.756648,596.0,2,96793,True,2957.756648,596.0,0.0,0
4149.0,13.64927769,88,64,9,4,35.0,1037,28.0,80,18.0,167,0.0,6.0,4.6,0.0,0.0,0,0,True,0.0,0.0,0.0,1
2598.0,38.004656739999994,93,61,11,9,64.0,1493,48.0,86,3.0,222,0.017616990701805068,2.0,4.6,1646.466334,574.0,4,93458,False,1646.466334,574.0,0.0,0
2897.0,17.77946493,151,157,10,6,118.0,2327,80.0,198,40.0,390,0.03321633318471049,3.0,4.5,6593.076757500001,1063.0,4,198488,False,6593.076757500001,1063.0,0.0,1
273.0,21.28395062,153,186,9,4,81.0,1993,56.0,149,24.0,299,0.0,8.0,4.6,0.0,0.0,0,0,False,0.0,0.0,0.0,0
1543.0,10.6642269,122,209,14,7,78.0,1744,56.0,142,18.0,283,0.0,3.0,4.5,0.0,0.0,0,0,True,0.0,0.0,0.0,1
2188.0,26.92125318,79,58,5,12,0.0,0,0.0,0,28.0,0,0.025375627312631502,0.0,0.0,4197.027255,777.0,4,165395,True,4197.027255,777.0,0.0,1
5793.0,22.15854823,167,158,0,11,94.0,2833,64.0,237,7.0,460,0.024239860439289242,13.0,4.6,3928.79658,940.0,2,162079,False,3928.79658,940.0,0.0,1
4313.0,19.16666667,75,177,0,4,109.0,3359,78.0,244,9.0,517,0.0,9.0,4.6,56344.76,4791.0,0,0,False,0.0,0.0,0.010541854962766111,0
1243.0,16.51253761,165,158,0,3,29.0,1221,24.0,88,3.0,200,0.0,4.0,4.6,40244.28,3479.0,0,0,False,0.0,0.0,0.01043443224601899,0
4284.0,21.5853222,79,99,0,3,0.0,421,11.0,20,3.0,74,0.013738020874969675,0.0,4.7,79419.218602,6868.0,4,173125,True,2378.408602,844.0,0.010217988085505517,1
4352.0,20.80619684,127,221,7,4,0.0,0,0.0,0,33.0,0,0.03546274189769621,0.0,0.0,80582.793198,6922.0,4,99878,True,3541.983198,773.0,0.010217988085505517,1
5416.0,38.004656739999994,173,158,0,10,60.0,571,47.0,129,17.0,185,0.019013041919464537,2.0,4.2,5283.534219,1467.0,5,277889,False,5283.534219,1467.0,0.0,0
4145.0,15.90843547,126,221,9,9,0.0,0,0.0,0,16.0,0,0.0,0.0,0.0,111171.56,10579.0,0,0,True,0.0,0.0,0.012052667150486772,1
886.0,38.004656739999994,139,123,16,8,134.0,3622,92.0,252,33.0,526,0.0,11.0,4.6,0.0,0.0,0,0,True,0.0,0.0,0.0,0
3818.0,16.56575463,113,209,13,5,43.0,1515,29.0,76,3.0,205,0.0,1.0,4.7,0.0,0.0,0,0,True,0.0,0.0,0.0,1
3434.0,22.26057299,161,158,0,4,56.0,2466,45.0,140,25.0,333,0.0,1.0,4.7,40244.28,3479.0,0,0,False,0.0,0.0,0.01043443224601899,1
1956.0,14.28264331,81,57,5,8,114.0,3218,78.0,228,28.0,467,0.022509870161495336,11.0,4.6,5047.095558,829.0,4,224216,True,5047.095558,829.0,0.0,1
3496.0,34.16363636,137,123,16,2,14.0,483,10.0,37,17.0,72,0.011536898690783342,0.0,4.6,3849.989999,1962.5,4,333710,True,3849.989999,1962.5,0.0,1
4034.0,27.89101498,113,209,10,9,71.0,966,46.0,124,39.0,179,0.02469847097443509,2.0,4.4,114433.141283,11444.0,2,132055,True,3261.581283,865.0,0.012052667150486772,1
3308.0,26.21381268,85,59,9,8,0.0,403,0.0,25,42.0,66,0.0,3.0,4.8,0.0,0.0,0,0,False,0.0,0.0,0.0,1
3232.0,18.03503788,127,221,8,6,89.0,1139,63.0,181,39.0,269,0.0,2.0,4.3,0.0,0.0,0,0,True,0.0,0.0,0.0,1
4645.0,14.51068091,151,157,10,2,118.0,2327,80.0,196,22.0,390,0.019573659113151388,0.0,4.5,63499.193223,5980.0,4,99114,False,1940.043223,601.0,0.009999826186456125,1
1544.185262,23.41556728,70,127,11,8,0.0,0,0.0,0,34.0,0,0.014530709322183616,0.0,0.0,79014.7778,7175.0,4,135847,False,1973.9678,800.0,0.010217988085505517,0
5679.0,19.81441544,127,221,7,2,0.0,0,0.0,0,33.0,0,0.024265882128227115,0.0,0.0,64106.339647,6444.0,2,104969,True,2547.189647,1065.0,0.009999826186456125,1
1646.0,18.34538653,79,58,5,2,0.0,0,0.0,0,19.0,0,0.0,0.0,0.0,0.0,0.0,0,0,True,0.0,0.0,0.0,0
3449.0,24.28351648,70,148,11,5,87.0,2625,58.0,172,31.0,390,0.019756845766246846,6.0,4.6,6593.076757500001,1931.0,5,333710,False,6593.076757500001,1931.0,0.0,1
4547.0,15.22872661,80,104,0,11,21.0,365,18.0,40,3.0,63,0.033547684847857584,0.0,4.4,66571.301848,6507.0,4,77295,True,2593.101848,763.0,0.009701795595400388,1
4747.0,26.48141746,87,57,4,2,0.0,0,0.0,0,18.0,0,0.008999480175960636,0.0,0.0,3003.225529,1962.5,2,333710,False,3003.225529,1962.5,0.0,1
4345.0,23.8989899,125,221,7,3,0.0,0,0.0,0,36.0,0,0.0,0.0,0.0,0.0,0.0,0,0,True,0.0,0.0,0.0,1
4513.0,22.08933934,161,158,0,2,56.0,2466,45.0,140,31.0,333,0.0,2.0,4.7,61559.15,5379.0,0,0,False,0.0,0.0,0.009999826186456125,1
3938.0,17.46321923,118,209,8,11,74.0,1848,52.0,125,6.0,291,0.0,3.0,4.6,0.0,0.0,0,0,True,0.0,0.0,0.0,1
3449.0,15.88139724,91,62,4,10,71.0,1048,41.0,90,30.0,184,0.0,6.0,4.5,96500.0,8049.0,0,0,True,0.0,0.0,0.013017499566308176,1
1129.0,17.76502146,165,158,0,6,29.0,1221,24.0,88,27.0,200,0.015073237787606455,3.0,4.6,961.0545681,425.0,2,63758,False,961.0545681,425.0,0.0,0
3900.0,23.82300885,118,209,12,4,50.0,1629,38.0,110,3.0,230,0.0,5.0,4.6,56344.76,4330.0,0,0,True,0.0,0.0,0.010541854962766111,1
2608.0,21.83379888,81,108,0,3,28.0,614,10.0,45,5.0,80,0.015074693269700424,1.0,4.6,2962.840514,1081.0,2,196543,True,2962.840514,1081.0,0.0,0
2213.0,14.32729211,113,209,12,9,19.0,442,14.0,34,18.0,68,0.020224800935408984,1.0,4.6,122454.31408299999,12426.0,4,205043,True,4146.974083,1123.0,0.011841985070015021,0
909.0,18.88315217,81,104,0,3,60.0,1633,44.0,126,13.0,270,0.0,7.0,4.6,0.0,0.0,0,0,False,0.0,0.0,0.0,0
4502.0,15.57735247,84,62,7,3,34.0,1144,17.0,84,12.0,141,0.0,4.0,4.7,0.0,0.0,0,0,False,0.0,0.0,0.0,1
5554.0,23.84141791,81,108,0,4,80.0,2218,66.0,167,20.0,349,0.0,6.0,4.6,56344.76,4791.0,0,0,True,0.0,0.0,0.010541854962766111,1
4287.0,31.47488584,152,186,10,6,97.0,2847,77.0,201,13.0,437,0.019756845766246846,6.0,4.6,6593.076757500001,1496.0,5,333710,True,6593.076757500001,1496.0,0.0,0
844.0,14.85942705,167,158,0,7,0.0,298,0.0,0,37.0,49,0.0,4.0,4.9,0.0,0.0,0,0,False,0.0,0.0,0.0,1
2912.0,34.91727494,89,62,5,11,47.0,1464,34.0,85,31.0,198,0.02297961383622624,7.0,4.6,114960.576607,11392.0,4,164885,False,3789.016607,1083.0,0.012052667150486772,0
4450.0,25.18632479,85,59,9,2,0.0,320,0.0,19,3.0,52,0.010935225539463788,5.0,4.8,3649.20505,1776.0,2,333710,False,3649.20505,1776.0,0.0,0
3684.0,18.9568082,127,221,8,11,117.0,1692,80.0,227,18.0,357,0.0,6.0,4.4,0.0,0.0,0,0,True,0.0,0.0,0.0,1
4114.0,18.5953271,126,149,9,1,152.0,4259,98.0,276,13.0,588,0.01645665146043587,13.0,4.6,63778.444646,6077.0,4,134856,False,2219.294646,698.0,0.009999826186456125,1
4377.0,25.1833509,126,221,9,5,98.0,2891,75.0,213,8.0,428,0.02474891952688118,9.0,4.6,3921.169312,997.0,4,158437,True,3921.169312,997.0,0.0,0
2754.0,23.4040672,70,148,11,6,87.0,2641,58.0,172,35.0,390,0.026884949242149306,7.0,4.6,6593.076757500001,1290.0,4,245232,False,6593.076757500001,1290.0,0.0,1
2401.072434,23.64764493,70,127,11,6,0.0,0,0.0,0,34.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,0.0,0.0,0.0,1
474.0,20.09952607,79,99,0,6,57.0,728,27.0,67,13.0,124,0.0,7.0,4.4,0.0,0.0,0,0,False,0.0,0.0,0.0,0
2605.0,17.09571559,129,209,8,10,98.0,2642,74.0,201,15.0,422,0.0,6.0,4.6,102695.19,9522.0,0,0,False,0.0,0.0,0.012037634431919535,1
4216.0,22.60411471,115,209,11,10,84.0,2164,65.0,191,4.0,357,0.019756845766246846,3.0,4.6,6593.076757500001,1962.5,5,333710,False,6593.076757500001,1962.5,0.0,1
4948.0,17.16666667,92,184,12,11,144.0,4640,110.0,354,31.0,677,0.01908320696151943,13.5,4.6,1002.746193,493.0,4,52545,False,1002.746193,493.0,0.0,0
2675.0,23.62302483,76,97,0,10,65.0,2294,57.0,196,3.0,383,0.019353560505414712,4.0,4.6,3097.092227,807.0,5,160026,True,3097.092227,807.0,0.0,0
4081.0,12.93639208,84,62,7,1,31.0,991,14.0,72,17.0,123,0.0,3.0,4.6,0.0,0.0,0,0,False,0.0,0.0,0.0,0
3786.0,26.93399015,85,58,8,12,153.0,3643,104.0,292,25.0,566,0.023829460512187695,12.0,4.6,2973.869013,735.0,2,124797,False,2973.869013,735.0,0.0,1
1195.0,32.06311637,117,209,12,6,92.0,2296,61.0,148,31.0,361,0.03882391585640124,3.0,4.6,2295.929912,620.0,2,59136,False,2295.929912,620.0,0.0,1
4696.0,18.00356379,110,116,8,1,52.0,1541,47.0,105,33.0,222,0.0,3.0,4.6,40244.28,3479.0,0,0,False,0.0,0.0,0.01043443224601899,1
3267.0,11.61018519,173,158,0,2,80.0,1969,58.0,150,11.0,301,0.0,6.0,4.6,0.0,0.0,0,0,False,0.0,0.0,0.0,1
4794.0,18.85164271,106,203,12,7,50.0,1119,21.0,53,26.0,141,0.0,6.0,4.6,0.0,0.0,0,0,False,0.0,0.0,0.0,1
1850.0,13.31202224,87,60,14,7,84.0,1651,55.0,142,12.0,281,0.0,0.0,4.5,0.0,0.0,0,0,False,0.0,0.0,0.0,1
1231.0,8.668421053,125,221,7,5,39.0,785,25.0,82,22.0,113,0.01248653022706249,0.0,4.5,1606.304708,679.0,2,128642,True,1606.304708,679.0,0.0,0
3431.0,22.1513083,82,105,0,4,40.0,967,32.0,84,13.0,165,0.016385630724656767,0.0,4.5,43728.045334,4620.0,4,212610,True,3483.765334,1141.0,0.01043443224601899,0
2392.0,30.17436792,79,100,0,11,133.0,3583,98.0,272,12.0,529,0.016800059494497765,5.0,4.6,4346.393792,944.0,4,258712,False,4346.393792,944.0,0.0,1
4671.0,18.34892788,124,221,9,12,110.0,2869,84.0,209,16.0,439,0.026194584221130492,4.0,4.6,3796.328702,708.0,4,144927,True,3796.328702,708.0,0.0,1
2978.0,11.76439791,91,54,8,5,15.0,0,0.0,0,30.0,0,0.0,5.0,1.0,0.0,0.0,0,0,False,0.0,0.0,0.0,0
5056.0,22.57355126,152,186,10,3,75.0,2277,56.0,160,17.0,355,0.012558012683392157,5.0,4.6,3291.141174,1324.0,2,262074,True,3291.141174,1324.0,0.0,1
5551.0,19.88243974,126,221,12,1,108.0,2592,60.0,163,7.0,352,0.014283836815834942,12.0,4.6,43071.651227,4170.0,2,197941,True,2827.371227,951.0,0.01043443224601899,1
3861.0,21.90264853,161,158,0,9,56.0,2466,45.0,140,14.0,333,0.0,2.0,4.7,130779.05,11557.0,0,0,False,0.0,0.0,0.011973061971253822,1
4948.0,19.71294118,120,196,11,5,71.0,2324,54.0,150,3.0,337,0.018845070192274736,3.0,4.6,1099.685226,429.0,2,58353,False,1099.685226,429.0,0.0,0
7324.5,19.66060606,95,67,14,2,71.0,1284,51.0,117,9.0,217,0.013205217784614563,9.0,4.5,3957.418897,1804.0,2,299685,True,3957.418897,1804.0,0.0,1
4813.0,26.01678909,120,196,11,2,85.0,2858,63.0,180,15.0,406,0.0,7.0,4.6,61559.15,5379.0,0,0,False,0.0,0.0,0.009999826186456125,0
1882.0,25.4208243,110,209,9,8,145.0,2542,81.0,229,40.0,410,0.05764591293238994,10.0,4.5,2933.02405,1269.0,2,50879,True,2933.02405,1269.0,0.0,0
328.0,37.29912664,89,62,5,12,64.0,1658,39.0,112,27.0,230,0.0,4.0,4.6,0.0,0.0,0,0,False,0.0,0.0,0.0,0
2435.0,22.13068732,163,158,0,3,91.0,2548,69.0,187,19.0,395,0.012165049367260148,12.0,4.6,1885.108215,708.0,2,154960,True,1885.108215,708.0,0.0,1
2286.0,12.13538462,92,59,6,5,0.0,402,0.0,27,14.0,61,0.0,2.0,4.8,0.0,0.0,0,0,False,0.0,0.0,0.0,1
4327.0,12.93934681,151,186,10,12,128.0,3249,86.0,265,3.0,478,0.0,7.0,4.6,0.0,0.0,0,0,False,0.0,0.0,0.0,1
5126.0,24.53750738,86,65,12,8,73.0,2596,70.0,200,4.0,399,0.03358957542469235,8.0,4.6,4017.850654,1128.0,4,119615,True,4017.850654,1128.0,0.0,1
4021.0,13.82440056,77,99,0,11,60.0,1794,34.0,94,11.0,230,0.0,0.0,4.7,0.0,0.0,0,0,False,0.0,0.0,0.0,1
3972.0,7.316085489,114,209,7,2,0.0,0,0.0,0,19.0,0,0.0,0.0,0.0,0.0,0.0,0,0,True,0.0,0.0,0.0,0
3142.0,16.15785381,80,104,0,10,37.0,643,25.0,73,41.0,146,0.020345189254076065,1.0,4.4,1338.93725,461.0,2,65810,True,1338.93725,461.0,0.0,1
538.0,16.10084034,85,209,11,9,96.0,2256,77.0,181,25.0,376,0.0,0.0,4.5,0.0,0.0,0,0,True,0.0,0.0,0.0,0
1540.0,25.39855072,84,62,7,6,78.0,931,45.0,92,11.0,156,0.0,0.0,4.4,0.0,0.0,0,0,False,0.0,0.0,0.0,0
4912.0,9.816280807,90,62,2,6,41.0,1178,16.0,65,3.0,148,0.0,0.0,4.7,0.0,0.0,0,0,False,0.0,0.0,0.0,1
1414.0,21.89511942,117,209,12,3,71.0,1651,47.0,116,26.0,253,0.0,6.0,4.6,0.0,0.0,0,0,False,0.0,0.0,0.0,0
985.0,38.004656739999994,125,221,7,11,67.0,1677,40.0,173,13.0,273,0.0,1.0,4.5,0.0,0.0,0,0,True,0.0,0.0,0.0,0
2412.0,19.68140794,82,186,0,5,57.0,1465,43.0,138,47.0,225,0.020310556773646144,5.0,4.6,3016.158302,575.0,4,148501,True,3016.158302,575.0,0.0,1
3139.0,12.12570356,91,54,8,4,15.0,0,0.0,0,27.0,0,0.01232793950395749,9.0,1.0,3544.972972,1373.0,2,287555,False,3544.972972,1373.0,0.0,0
2966.0,17.61633282,84,63,6,6,96.0,2185,55.0,193,26.0,339,0.022910844933992657,7.0,4.6,6593.076757500001,1719.0,2,287770,False,6593.076757500001,1719.0,0.0,0
3159.0,17.97477064,118,209,8,5,48.0,890,28.0,67,16.0,138,0.0,1.0,4.5,0.0,0.0,0,0,True,0.0,0.0,0.0,0
2034.0,28.72475424,117,209,12,4,92.0,2296,61.0,148,34.0,361,0.04596606147198216,3.0,4.6,58653.083675,5386.0,2,50217,False,2308.323675,595.0,0.010541854962766111,1
2976.0,18.36469534,113,209,13,2,26.0,516,27.0,61,18.0,109,0.008618593667632351,0.0,4.4,2638.780679,1353.0,2,306172,False,2638.780679,1353.0,0.0,1
3918.0,8.107488987,83,61,10,2,29.0,819,16.0,56,6.0,121,0.0,4.0,4.6,0.0,0.0,0,0,True,0.0,0.0,0.0,1
4860.0,21.44880383,152,186,9,1,73.0,1834,60.0,151,11.0,281,0.011927661491850648,7.0,4.6,2125.926746,979.0,2,178234,False,2125.926746,979.0,0.0,1
331.0,25.48770144,126,221,9,6,107.0,2884,88.0,199,13.0,434,0.0,8.0,4.6,0.0,0.0,0,0,False,0.0,0.0,0.0,1
5689.0,17.07169254,124,221,9,1,66.0,1484,52.0,113,21.0,235,0.0,0.0,4.5,0.0,0.0,0,0,True,0.0,0.0,0.0,1
4245.0,17.8406395,86,62,8,11,185.5,5093,135.5,374,13.0,766,0.0,9.0,4.6,0.0,0.0,0,0,True,0.0,0.0,0.0,1
3903.0,6.61298377,91,59,5,4,49.0,1227,38.0,81,19.0,179,0.0,0.0,4.6,0.0,0.0,0,0,True,0.0,0.0,0.0,0
3777.0,24.47740964,87,60,7,4,69.0,1971,37.0,146,15.0,303,0.019259253920934246,4.0,4.6,58844.919307000004,5493.0,4,129815,True,2500.159307,702.0,0.010541854962766111,1
1221.0,14.49537037,166,158,0,6,23.0,1076,20.0,66,33.0,173,0.0,5.0,4.7,0.0,0.0,0,0,True,0.0,0.0,0.0,0
6585.0,16.98777826,89,141,6,1,99.0,3272,72.0,194,14.0,453,0.012411704377291307,6.0,4.6,57641.423168,5192.0,4,104470,False,1296.663168,862.0,0.010541854962766111,1
2259.0,20.7018684,110,209,9,10,75.0,1196,53.0,129,23.0,214,0.0,6.0,4.4,102695.19,9522.0,0,0,True,0.0,0.0,0.012037634431919535,1
6813.0,24.49385749,173,158,0,3,18.0,0,21.0,34,18.0,0,0.025289940583860148,0.0,2.2,4124.46054,1770.0,2,163086,False,4124.46054,1770.0,0.0,0
5285.0,31.38112199,173,158,0,5,51.0,468,39.0,103,20.0,152,0.02806127603005532,1.0,4.2,5097.75171,1246.0,4,181664,False,5097.75171,1246.0,0.0,1
4807.0,17.35740741,90,62,2,7,152.0,4098,102.0,287,10.0,604,0.015339189528147373,5.0,4.6,2650.412541,698.0,2,172786,False,2650.412541,698.0,0.0,1
4201.0,21.36548832,115,209,11,6,68.0,1853,60.0,158,15.0,304,0.019756845766246846,6.0,4.6,6593.076757500001,1951.0,5,333710,False,6593.076757500001,1951.0,0.0,1
7324.5,17.54912374,76,96,0,8,0.0,620,0.0,25,51.0,74,0.01688306559667732,0.0,4.8,104882.121019,10590.0,2,129533,False,2186.931019,710.0,0.012037634431919535,1
2379.0,15.61832061,81,107,0,12,37.0,331,23.0,44,3.0,78,0.018435286382585826,0.0,4.3,3294.477853,1068.0,4,178704,False,3294.477853,1068.0,0.0,0
3506.0,11.04588745,160,158,0,12,122.0,3497,87.0,242,23.0,517,0.016560196400980852,10.0,4.6,2154.33251,613.0,2,130090,False,2154.33251,613.0,0.0,1
